ip,name,mac
192.168.17.11,cms1,E4:54:E8:A5:0A:C3
192.168.17.12,cms2,E4:54:E8:A8:2E:62
192.168.17.13,cms3,E4:54:E8:A4:8E:1B
192.168.17.14,cms4,E4:54:E8:A6:97:3D
192.168.17.15,cms5,E4:54:E8:A8:2E:61
192.168.17.16,cms6,E4:54:E8:A8:2E:2B
192.168.17.17,cms7,E4:54:E8:A8:2E:89
192.168.17.18,cms8,E4:54:E8:A6:96:67
192.168.17.19,cms9,E4:54:E8:A5:0C:FB
192.168.17.20,cms10,E4:54:E8:A8:2E:44
192.168.17.21,cms11,E4:54:E8:A5:0C:5D
192.168.17.22,cms12,E4:54:E8:A8:2E:9C
192.168.17.23,cms13,E4:54:E8:A8:2E:49
192.168.17.24,cms14,E4:54:E8:A8:2E:36
192.168.17.25,cms15,E4:54:E8:A5:0B:B5
192.168.17.26,cms16,E4:54:E8:A8:2E:BD
192.168.17.27,cms17,E4:54:E8:A8:2E:43
192.168.17.10,cms0,E4:54:E8:A6:97:01
192.168.17.91,Class305-GV,F4:4D:30:47:68:DF
192.168.17.114,Class305-14,E4:54:E8:A5:0A:75
192.168.17.115,Class305-18,E4:54:E8:A8:29:3D
192.168.17.116,Class305-28,E4:54:E8:A5:0C:AB
192.168.17.117,Class305-1,E4:54:E8:A8:2F:05
192.168.17.118,Class305-3,E4:54:E8:A5:0A:A1
192.168.17.119,Class305-5,E4:54:E8:A5:0C:38
192.168.17.120,Class305-7,E4:54:E8:A5:0E:E1
192.168.17.121,Class305-9,E4:54:E8:A8:2E:35
192.168.17.122,Class305-11,E4:54:E8:A8:2E:EB
192.168.17.123,Class305-13,E4:54:E8:A8:2E:8B
192.168.17.124,Class305-15,E4:54:E8:A5:0A:73
192.168.17.125,Class305-17,E4:54:E8:A8:2E:F0
192.168.17.126,Class305-19,E4:54:E8:A5:0A:9D
192.168.17.127,Class305-21,E4:54:E8:A6:96:64
192.168.17.128,Class305-23,E4:54:E8:A8:2E:46
192.168.17.129,Class305-25,E4:54:E8:A8:2A:50
192.168.17.130,Class305-27,E4:54:E8:A7:DA:B8
192.168.17.131,Class305-29,E4:54:E8:A7:DB:03
192.168.17.132,Class305-2,E4:54:E8:A8:2E:83
192.168.17.133,Class305-4,E4:54:E8:A8:2E:4C
192.168.17.134,Class305-6,E4:54:E8:A8:2E:CD
192.168.17.135,Class305-8,E4:54:E8:A5:0C:25
192.168.17.136,Class305-10,E4:54:E8:A8:30:26
192.168.17.137,Class305-12,E4:54:E8:A8:2F:06
192.168.17.138,Class305-16,E4:54:E8:A7:DD:17
192.168.17.139,Class305-20,E4:54:E8:A8:2B:15
192.168.17.140,Class305-22,E4:54:E8:A5:0A:AE
192.168.17.141,Class305-24,E4:54:E8:A8:2E:77
192.168.17.142,Class305-26,E4:54:E8:A8:2E:8C
192.168.17.143,Class305-30,E4:54:E8:A5:0C:EB
192.168.17.92,Class305-GV,F4:4D:30:47:69:CD
192.168.17.93,Class304-GV,F4:4D:30:47:6A:C2
192.168.17.146,Class304-18,74:86:E2:0B:54:43
192.168.17.147,Class304-45,74:86:E2:0B:69:EC
192.168.17.148,Class304-2,74:86:E2:0B:62:4A
192.168.17.149,Class304-5,74:86:E2:0B:6A:11
192.168.17.150,Class304-8,74:86:E2:0B:69:2D
192.168.17.151,Class304-11,74:86:E2:0B:69:59
192.168.17.152,Class304-14,74:86:E2:0B:72:D6
192.168.17.153,Class304-17,74:86:E2:0B:69:C5
192.168.17.154,Class304-20,74:86:E2:0B:54:9A
192.168.17.155,Class304-23,74:86:E2:0B:58:F1
192.168.17.156,Class304-26,74:86:E2:0B:6B:65
192.168.17.157,Class304-29,74:86:E2:0B:55:72
192.168.17.158,Class304-32,74:86:E2:0B:6A:F2
192.168.17.159,Class304-35,74:86:E2:0B:55:B1
192.168.17.160,Class304-38,74:86:E2:0B:6A:49
192.168.17.161,Class304-41,74:86:E2:0B:53:96
192.168.17.162,Class304-44,74:86:E2:0B:54:F2
192.168.17.163,Class304-47,74:86:E2:0B:68:F7
192.168.17.164,Class304-49,74:86:E2:0B:69:34
192.168.17.165,Class304-27,74:86:E2:0B:6B:4D
192.168.17.166,Class304-1,74:86:E2:0B:49:5C
192.168.17.167,Class304-3,74:86:E2:0B:6B:22
192.168.17.168,Class304-4,74:86:E2:0B:69:DD
192.168.17.169,Class304-6,74:86:E2:0B:6B:1A
192.168.17.170,Class304-7,74:86:E2:0B:53:EB
192.168.17.171,Class304-9,74:86:E2:0B:62:1F
192.168.17.172,Class304-10,74:86:E2:0B:68:BD
192.168.17.173,Class304-12,74:86:E2:0B:69:F3
192.168.17.174,Class304-13,74:86:E2:0B:62:09
192.168.17.175,Class304-15,74:86:E2:0B:69:F7
192.168.17.176,Class304-16,74:86:E2:0B:55:0D
192.168.17.177,Class304-19,74:86:E2:0B:69:D3
192.168.17.178,Class304-21,74:86:E2:0B:69:21
192.168.17.179,Class304-22,74:86:E2:0B:69:D7
192.168.17.180,Class304-24,74:86:E2:0B:6A:04
192.168.17.181,Class304-25,74:86:E2:0B:61:E5
192.168.17.182,Class304-28,74:86:E2:0B:55:C1
192.168.17.183,Class304-30,74:86:E2:0B:62:15
192.168.17.184,Class304-31,74:86:E2:0B:53:DF
192.168.17.185,Class304-33,74:86:E2:0B:54:E4
192.168.17.186,Class304-34,74:86:E2:0B:55:A8
192.168.17.187,Class304-36,74:86:E2:0B:69:C9
192.168.17.188,Class304-37,74:86:E2:0B:69:AA
192.168.17.189,Class304-39,74:86:E2:0B:69:49
192.168.17.190,Class304-40,74:86:E2:0B:4F:FB
192.168.17.191,Class304-42,74:86:E2:0B:54:E6
192.168.17.192,Class304-43,74:86:E2:0B:68:F1
192.168.17.193,Class304-46,74:86:E2:0B:54:50
192.168.17.194,Class304-48,74:86:E2:0B:62:33
192.168.17.195,Class304-50,74:86:E2:0B:52:A0
192.168.17.196,Class304-51,4:4D:30:47:6A:A9
192.168.17.197,Class304-52,4:4D:30:47:6E:4A
192.168.17.198,Class304-54,4:4D:30:47:6D:A2
192.168.17.199,Class304-53,4:4D:30:47:6A:6E
192.168.17.94,Class304-GV,74:86:E2:0B:69:5F
192.168.17.95,Class304-Printer,18:60:24:CB:90:AB